enzyCUI,drugNAME,drugCUI
C0027021,Cariporide,C0663099
C4742896,Cariporide,C0663099
C0027021,Capsaicin,C0006931
C4742896,Capsaicin,C0006931
C0207509,Capsaicin,C0006931
C1620185,Capsaicin,C0006931
C1142644,Capsaicin,C0006931
C3714798,Capsaicin,C0006931
C0010763,Capsaicin,C0006931
C3887686,Capsaicin,C0006931
C0017801,Capsaicin,C0006931
C0008429,Capsaicin,C0006931
C0202207,Capsaicin,C0006931
C0364230,Capsaicin,C0006931
C0728810,Capsaicin,C0006931
C4082696,Capsaicin,C0006931
C0013032,Capsaicin,C0006931
C0027021,Tiopronin,C0025405
C4742896,Tiopronin,C0025405
C0207509,Peginterferon alfa-2a,C0391001
C1620185,Peginterferon alfa-2a,C0391001
C0207509,Interferon alfa-n1,C0699817
C1620185,Interferon alfa-n1,C0699817
C0207509,Interferon alfa-n3,C1621234
C1620185,Interferon alfa-n3,C1621234
C0207509,Peginterferon alfa-2b,C0796545
C1620185,Peginterferon alfa-2b,C0796545
C0057223,Peginterferon alfa-2b,C0796545
C3887685,Peginterferon alfa-2b,C0796545
C0608437,Peginterferon alfa-2b,C0796545
C0207509,Insulin human,C0795635
C1620185,Insulin human,C0795635
C0021669,Insulin human,C0795635
C0207509,Interferon gamma-1b,C0021741
C1620185,Interferon gamma-1b,C0021741
C0207509,Interferon alfa-2a,C0021734
C0207509,Interferon alfa-2a,C2937361
C1620185,Interferon alfa-2a,C0021734
C1620185,Interferon alfa-2a,C2937361
C0207509,Insulin lispro,C0293359
C1620185,Insulin lispro,C0293359
C0021669,Insulin lispro,C0293359
C0207509,Insulin glargine,C0907402
C1620185,Insulin glargine,C0907402
C0207509,Somatotropin,C0037663
C0207509,Somatotropin,C0169964
C0207509,Somatotropin,C0202056
C0207509,Somatotropin,C3714500
C1620185,Somatotropin,C0037663
C1620185,Somatotropin,C0169964
C1620185,Somatotropin,C0202056
C1620185,Somatotropin,C3714500
C0960580,Somatotropin,C0037663
C0960580,Somatotropin,C0169964
C0960580,Somatotropin,C0202056
C0960580,Somatotropin,C3714500
C0207509,Interferon beta-1a,C0254119
C1620185,Interferon beta-1a,C0254119
C0207509,Interferon beta-1b,C0244713
C1620185,Interferon beta-1b,C0244713
C0207509,Interferon alfacon-1,C0164613
C1620185,Interferon alfacon-1,C0164613
C0207509,Insulin pork,C0770206
C1620185,Insulin pork,C0770206
C0021669,Insulin pork,C0770206
C0207509,Interferon alfa-2b,C0021735
C0207509,Interferon alfa-2b,C2937361
C0207509,Interferon alfa-2b,C5552625
C1620185,Interferon alfa-2b,C0021735
C1620185,Interferon alfa-2b,C2937361
C1620185,Interferon alfa-2b,C5552625
C0207509,Menadione,C0025270
C1620185,Menadione,C0025270
C0057223,Menadione,C0025270
C3887685,Menadione,C0025270
C0608437,Menadione,C0025270
C1142644,Menadione,C0025270
C3714798,Menadione,C0025270
C0010763,Menadione,C0025270
C3887686,Menadione,C0025270
C0960580,Menadione,C0025270
C0535996,Menadione,C0025270
C3714750,Menadione,C0025270
C1450093,Menadione,C0025270
C0066357,Menadione,C0025270
C0051124,Menadione,C0025270
C0059735,Menadione,C0025270
C3252639,Menadione,C0025270
C0897385,Menadione,C0025270
C3884187,Menadione,C0025270
C0534137,Menadione,C0025270
C1828468,Menadione,C0025270
C0533212,Menadione,C0025270
C0207509,Fluvoxamine,C0085228
C1620185,Fluvoxamine,C0085228
C0057223,Fluvoxamine,C0085228
C3887685,Fluvoxamine,C0085228
C0608437,Fluvoxamine,C0085228
C1142644,Fluvoxamine,C0085228
C3714798,Fluvoxamine,C0085228
C0960580,Fluvoxamine,C0085228
C0059735,Fluvoxamine,C0085228
C3252639,Fluvoxamine,C0085228
C0534137,Fluvoxamine,C0085228
C1828468,Fluvoxamine,C0085228
C0207509,Nicotine,C0028040
C1620185,Nicotine,C0028040
C0057223,Nicotine,C0028040
C3887685,Nicotine,C0028040
C0608437,Nicotine,C0028040
C1142644,Nicotine,C0028040
C3714798,Nicotine,C0028040
C0010763,Nicotine,C0028040
C3887686,Nicotine,C0028040
C0960580,Nicotine,C0028040
C0059735,Nicotine,C0028040
C3252639,Nicotine,C0028040
C0897385,Nicotine,C0028040
C3884187,Nicotine,C0028040
C0534137,Nicotine,C0028040
C1828468,Nicotine,C0028040
C0961212,Nicotine,C0028040
C0207509,Bortezomib,C1176309
C1620185,Bortezomib,C1176309
C0057223,Bortezomib,C1176309
C3887685,Bortezomib,C1176309
C0608437,Bortezomib,C1176309
C1142644,Bortezomib,C1176309
C3714798,Bortezomib,C1176309
C0960580,Bortezomib,C1176309
C0207509,Betaxolol,C0005320
C0207509,Betaxolol,C0699055
C1620185,Betaxolol,C0005320
C1620185,Betaxolol,C0699055
C0057223,Betaxolol,C0005320
C0057223,Betaxolol,C0699055
C3887685,Betaxolol,C0005320
C3887685,Betaxolol,C0699055
C0207509,Caffeine,C0006644
C0207509,Caffeine,C0202348
C1620185,Caffeine,C0006644
C1620185,Caffeine,C0202348
C0057223,Caffeine,C0006644
C0057223,Caffeine,C0202348
C3887685,Caffeine,C0006644
C3887685,Caffeine,C0202348
C0608437,Caffeine,C0006644
C0608437,Caffeine,C0202348
C1142644,Caffeine,C0006644
C1142644,Caffeine,C0202348
C3714798,Caffeine,C0006644
C3714798,Caffeine,C0202348
C0010763,Caffeine,C0006644
C0010763,Caffeine,C0202348
C3887686,Caffeine,C0006644
C3887686,Caffeine,C0202348
C1450093,Caffeine,C0006644
C1450093,Caffeine,C0202348
C0059735,Caffeine,C0006644
C0059735,Caffeine,C0202348
C3252639,Caffeine,C0006644
C3252639,Caffeine,C0202348
C0897385,Caffeine,C0006644
C0897385,Caffeine,C0202348
C0207509,Citalopram,C0008845
C0207509,Citalopram,C1369503
C1620185,Citalopram,C0008845
C1620185,Citalopram,C1369503
C0057223,Citalopram,C0008845
C0057223,Citalopram,C1369503
C3887685,Citalopram,C0008845
C3887685,Citalopram,C1369503
C1142644,Citalopram,C0008845
C1142644,Citalopram,C1369503
C3714798,Citalopram,C0008845
C3714798,Citalopram,C1369503
C0960580,Citalopram,C0008845
C0960580,Citalopram,C1369503
C0051124,Citalopram,C0008845
C0051124,Citalopram,C1369503
C0207509,Moxifloxacin,C0536495
C0207509,Moxifloxacin,C1114817
C1620185,Moxifloxacin,C0536495
C1620185,Moxifloxacin,C1114817
C0207509,Nevirapine,C0132326
C1620185,Nevirapine,C0132326
C0057223,Nevirapine,C0132326
C3887685,Nevirapine,C0132326
C0608437,Nevirapine,C0132326
C1142644,Nevirapine,C0132326
C3714798,Nevirapine,C0132326
C0535996,Nevirapine,C0132326
C3714750,Nevirapine,C0132326
C3884187,Nevirapine,C0132326
C0534137,Nevirapine,C0132326
C1828468,Nevirapine,C0132326
C0533212,Nevirapine,C0132326
C0207509,Phenytoin,C0031507
C0207509,Phenytoin,C0202454
C0207509,Phenytoin,C0366195
C0207509,Phenytoin,C0798051
C1620185,Phenytoin,C0031507
C1620185,Phenytoin,C0202454
C1620185,Phenytoin,C0366195
C1620185,Phenytoin,C0798051
C0057223,Phenytoin,C0031507
C0057223,Phenytoin,C0202454
C0057223,Phenytoin,C0366195
C0057223,Phenytoin,C0798051
C3887685,Phenytoin,C0031507
C3887685,Phenytoin,C0202454
C3887685,Phenytoin,C0366195
C3887685,Phenytoin,C0798051
C0608437,Phenytoin,C0031507
C0608437,Phenytoin,C0202454
C0608437,Phenytoin,C0366195
C0608437,Phenytoin,C0798051
C1142644,Phenytoin,C0031507
C1142644,Phenytoin,C0202454
C1142644,Phenytoin,C0366195
C1142644,Phenytoin,C0798051
C3714798,Phenytoin,C0031507
C3714798,Phenytoin,C0202454
C3714798,Phenytoin,C0366195
C3714798,Phenytoin,C0798051
C0010763,Phenytoin,C0031507
C0010763,Phenytoin,C0202454
C0010763,Phenytoin,C0366195
C0010763,Phenytoin,C0798051
C3887686,Phenytoin,C0031507
C3887686,Phenytoin,C0202454
C3887686,Phenytoin,C0366195
C3887686,Phenytoin,C0798051
C0960580,Phenytoin,C0031507
C0960580,Phenytoin,C0202454
C0960580,Phenytoin,C0366195
C0960580,Phenytoin,C0798051
C0026237,Phenytoin,C0031507
C0026237,Phenytoin,C0202454
C0026237,Phenytoin,C0366195
C0026237,Phenytoin,C0798051
C0887941,Phenytoin,C0031507
C0887941,Phenytoin,C0202454
C0887941,Phenytoin,C0366195
C0887941,Phenytoin,C0798051
C0535996,Phenytoin,C0031507
C0535996,Phenytoin,C0202454
C0535996,Phenytoin,C0366195
C0535996,Phenytoin,C0798051
C3714750,Phenytoin,C0031507
C3714750,Phenytoin,C0202454
C3714750,Phenytoin,C0366195
C3714750,Phenytoin,C0798051
C0897385,Phenytoin,C0031507
C0897385,Phenytoin,C0202454
C0897385,Phenytoin,C0366195
C0897385,Phenytoin,C0798051
C3884187,Phenytoin,C0031507
C3884187,Phenytoin,C0202454
C3884187,Phenytoin,C0366195
C3884187,Phenytoin,C0798051
C0534137,Phenytoin,C0031507
C0534137,Phenytoin,C0202454
C0534137,Phenytoin,C0366195
C0534137,Phenytoin,C0798051
C1828468,Phenytoin,C0031507
C1828468,Phenytoin,C0202454
C1828468,Phenytoin,C0366195
C1828468,Phenytoin,C0798051
C0533212,Phenytoin,C0031507
C0533212,Phenytoin,C0202454
C0533212,Phenytoin,C0366195
C0533212,Phenytoin,C0798051
C0218171,Phenytoin,C0031507
C0218171,Phenytoin,C0202454
C0218171,Phenytoin,C0366195
C0218171,Phenytoin,C0798051
C0038296,Phenytoin,C0031507
C0038296,Phenytoin,C0202454
C0038296,Phenytoin,C0366195
C0038296,Phenytoin,C0798051
C0007407,Phenytoin,C0031507
C0007407,Phenytoin,C0202454
C0007407,Phenytoin,C0366195
C0007407,Phenytoin,C0798051
C0207509,Anagrelide,C0051809
C1620185,Anagrelide,C0051809
C0207509,Ropinirole,C0244821
C1620185,Ropinirole,C0244821
C0207509,Theophylline,C0039771
C0207509,Theophylline,C0039773
C1620185,Theophylline,C0039771
C1620185,Theophylline,C0039773
C0057223,Theophylline,C0039771
C0057223,Theophylline,C0039773
C3887685,Theophylline,C0039771
C3887685,Theophylline,C0039773
C1142644,Theophylline,C0039771
C1142644,Theophylline,C0039773
C3714798,Theophylline,C0039771
C3714798,Theophylline,C0039773
C0010763,Theophylline,C0039771
C0010763,Theophylline,C0039773
C3887686,Theophylline,C0039771
C3887686,Theophylline,C0039773
C1450093,Theophylline,C0039771
C1450093,Theophylline,C0039773
C0059735,Theophylline,C0039771
C0059735,Theophylline,C0039773
C3252639,Theophylline,C0039771
C3252639,Theophylline,C0039773
C0001457,Theophylline,C0039771
C0001457,Theophylline,C0039773
C0427556,Theophylline,C0039771
C0427556,Theophylline,C0039773
C0207509,Disopyramide,C0012702
C1620185,Disopyramide,C0012702
C1142644,Disopyramide,C0012702
C3714798,Disopyramide,C0012702
C0207509,Lidocaine,C0023660
C0207509,Lidocaine,C0202404
C1620185,Lidocaine,C0023660
C1620185,Lidocaine,C0202404
C0057223,Lidocaine,C0023660
C0057223,Lidocaine,C0202404
C3887685,Lidocaine,C0023660
C3887685,Lidocaine,C0202404
C0608437,Lidocaine,C0023660
C0608437,Lidocaine,C0202404
C1142644,Lidocaine,C0023660
C1142644,Lidocaine,C0202404
C3714798,Lidocaine,C0023660
C3714798,Lidocaine,C0202404
C0535996,Lidocaine,C0023660
C0535996,Lidocaine,C0202404
C3714750,Lidocaine,C0023660
C3714750,Lidocaine,C0202404
C0897385,Lidocaine,C0023660
C0897385,Lidocaine,C0202404
C3884187,Lidocaine,C0023660
C3884187,Lidocaine,C0202404
C0534137,Lidocaine,C0023660
C0534137,Lidocaine,C0202404
C1828468,Lidocaine,C0023660
C1828468,Lidocaine,C0202404
C0533212,Lidocaine,C0023660
C0533212,Lidocaine,C0202404
C0207509,Conjugated estrogens,C0014938
C1620185,Conjugated estrogens,C0014938
C1142644,Conjugated estrogens,C0014938
C3714798,Conjugated estrogens,C0014938
C0007407,Conjugated estrogens,C0014938
C0207509,Ropivacaine,C0073571
C1620185,Ropivacaine,C0073571
C1142644,Ropivacaine,C0073571
C3714798,Ropivacaine,C0073571
C0534137,Ropivacaine,C0073571
C1828468,Ropivacaine,C0073571
C0207509,Valproic acid,C0042291
C1620185,Valproic acid,C0042291
C0608437,Valproic acid,C0042291
C1142644,Valproic acid,C0042291
C3714798,Valproic acid,C0042291
C0960580,Valproic acid,C0042291
C0535996,Valproic acid,C0042291
C3714750,Valproic acid,C0042291
C3884187,Valproic acid,C0042291
C0534137,Valproic acid,C0042291
C1828468,Valproic acid,C0042291
C0207509,Zolmitriptan,C0528166
C1620185,Zolmitriptan,C0528166
C0207509,Acetaminophen,C0000970
C0207509,Acetaminophen,C0373527
C0207509,Acetaminophen,C2917659
C1620185,Acetaminophen,C0000970
C1620185,Acetaminophen,C0373527
C1620185,Acetaminophen,C2917659
C0057223,Acetaminophen,C0000970
C0057223,Acetaminophen,C0373527
C0057223,Acetaminophen,C2917659
C3887685,Acetaminophen,C0000970
C3887685,Acetaminophen,C0373527
C3887685,Acetaminophen,C2917659
C1142644,Acetaminophen,C0000970
C1142644,Acetaminophen,C0373527
C1142644,Acetaminophen,C2917659
C3714798,Acetaminophen,C0000970
C3714798,Acetaminophen,C0373527
C3714798,Acetaminophen,C2917659
C0010763,Acetaminophen,C0000970
C0010763,Acetaminophen,C0373527
C0010763,Acetaminophen,C2917659
C3887686,Acetaminophen,C0000970
C3887686,Acetaminophen,C0373527
C3887686,Acetaminophen,C2917659
C3884187,Acetaminophen,C0000970
C3884187,Acetaminophen,C0373527
C3884187,Acetaminophen,C2917659
C1452189,Acetaminophen,C0000970
C1452189,Acetaminophen,C0373527
C1452189,Acetaminophen,C2917659
C0207509,Amitriptyline,C0002600
C1620185,Amitriptyline,C0002600
C0057223,Amitriptyline,C0002600
C3887685,Amitriptyline,C0002600
C0608437,Amitriptyline,C0002600
C1142644,Amitriptyline,C0002600
C3714798,Amitriptyline,C0002600
C0960580,Amitriptyline,C0002600
C0535996,Amitriptyline,C0002600
C3714750,Amitriptyline,C0002600
C0897385,Amitriptyline,C0002600
C0534137,Amitriptyline,C0002600
C1828468,Amitriptyline,C0002600
C0207509,Ethambutol,C0014964
C0207509,Ethambutol,C0801914
C1620185,Ethambutol,C0014964
C1620185,Ethambutol,C0801914
C0057223,Ethambutol,C0014964
C0057223,Ethambutol,C0801914
C3887685,Ethambutol,C0014964
C3887685,Ethambutol,C0801914
C0608437,Ethambutol,C0014964
C0608437,Ethambutol,C0801914
C1142644,Ethambutol,C0014964
C1142644,Ethambutol,C0801914
C3714798,Ethambutol,C0014964
C3714798,Ethambutol,C0801914
C0010763,Ethambutol,C0014964
C0010763,Ethambutol,C0801914
C3887686,Ethambutol,C0014964
C3887686,Ethambutol,C0801914
C0960580,Ethambutol,C0014964
C0960580,Ethambutol,C0801914
C3884187,Ethambutol,C0014964
C3884187,Ethambutol,C0801914
C0207509,Methadone,C0025605
C0207509,Methadone,C0202418
C1620185,Methadone,C0025605
C1620185,Methadone,C0202418
C0057223,Methadone,C0025605
C0057223,Methadone,C0202418
C3887685,Methadone,C0025605
C3887685,Methadone,C0202418
C0608437,Methadone,C0025605
C0608437,Methadone,C0202418
C1142644,Methadone,C0025605
C1142644,Methadone,C0202418
C3714798,Methadone,C0025605
C3714798,Methadone,C0202418
C0960580,Methadone,C0025605
C0960580,Methadone,C0202418
C0897385,Methadone,C0025605
C0897385,Methadone,C0202418
C0534137,Methadone,C0025605
C0534137,Methadone,C0202418
C1828468,Methadone,C0025605
C1828468,Methadone,C0202418
C0533212,Methadone,C0025605
C0533212,Methadone,C0202418
C3254086,Methadone,C0025605
C3254086,Methadone,C0202418
C0218171,Methadone,C0025605
C0218171,Methadone,C0202418
C0207509,Olanzapine,C0171023
C1620185,Olanzapine,C0171023
C0057223,Olanzapine,C0171023
C3887685,Olanzapine,C0171023
C0608437,Olanzapine,C0171023
C1142644,Olanzapine,C0171023
C3714798,Olanzapine,C0171023
C0960580,Olanzapine,C0171023
C1414645,Olanzapine,C0171023
C0207509,Omeprazole,C0028978
C1620185,Omeprazole,C0028978
C0057223,Omeprazole,C0028978
C3887685,Omeprazole,C0028978
C0608437,Omeprazole,C0028978
C1142644,Omeprazole,C0028978
C3714798,Omeprazole,C0028978
C0960580,Omeprazole,C0028978
C1450093,Omeprazole,C0028978
C0059735,Omeprazole,C0028978
C3252639,Omeprazole,C0028978
C0897385,Omeprazole,C0028978
C0218171,Omeprazole,C0028978
C0207509,Clobazam,C0055891
C0207509,Clobazam,C0365716
C1620185,Clobazam,C0055891
C1620185,Clobazam,C0365716
C0057223,Clobazam,C0055891
C0057223,Clobazam,C0365716
C3887685,Clobazam,C0055891
C3887685,Clobazam,C0365716
C0608437,Clobazam,C0055891
C0608437,Clobazam,C0365716
C1142644,Clobazam,C0055891
C1142644,Clobazam,C0365716
C3714798,Clobazam,C0055891
C3714798,Clobazam,C0365716
C0960580,Clobazam,C0055891
C0960580,Clobazam,C0365716
C0535996,Clobazam,C0055891
C0535996,Clobazam,C0365716
C3714750,Clobazam,C0055891
C3714750,Clobazam,C0365716
C0897385,Clobazam,C0055891
C0897385,Clobazam,C0365716
C0534137,Clobazam,C0055891
C0534137,Clobazam,C0365716
C1828468,Clobazam,C0055891
C1828468,Clobazam,C0365716
C0533212,Clobazam,C0055891
C0533212,Clobazam,C0365716
C0218171,Clobazam,C0055891
C0218171,Clobazam,C0365716
C0207509,Chlorzoxazone,C0008296
C1620185,Chlorzoxazone,C0008296
C0057223,Chlorzoxazone,C0008296
C3887685,Chlorzoxazone,C0008296
C1142644,Chlorzoxazone,C0008296
C3714798,Chlorzoxazone,C0008296
C0010763,Chlorzoxazone,C0008296
C3887686,Chlorzoxazone,C0008296
C0059735,Chlorzoxazone,C0008296
C3252639,Chlorzoxazone,C0008296
C3884187,Chlorzoxazone,C0008296
C0207509,Clozapine,C0009079
C0207509,Clozapine,C3666182
C1620185,Clozapine,C0009079
C1620185,Clozapine,C3666182
C0057223,Clozapine,C0009079
C0057223,Clozapine,C3666182
C3887685,Clozapine,C0009079
C3887685,Clozapine,C3666182
C0608437,Clozapine,C0009079
C0608437,Clozapine,C3666182
C1142644,Clozapine,C0009079
C1142644,Clozapine,C3666182
C3714798,Clozapine,C0009079
C3714798,Clozapine,C3666182
C0960580,Clozapine,C0009079
C0960580,Clozapine,C3666182
C0059735,Clozapine,C0009079
C0059735,Clozapine,C3666182
C3252639,Clozapine,C0009079
C3252639,Clozapine,C3666182
C0897385,Clozapine,C0009079
C0897385,Clozapine,C3666182
C3884187,Clozapine,C0009079
C3884187,Clozapine,C3666182
C1414645,Clozapine,C0009079
C1414645,Clozapine,C3666182
C0207509,Grepafloxacin,C0287721
C0207509,Grepafloxacin,C0882418
C1620185,Grepafloxacin,C0287721
C1620185,Grepafloxacin,C0882418
C1142644,Grepafloxacin,C0287721
C1142644,Grepafloxacin,C0882418
C3714798,Grepafloxacin,C0287721
C3714798,Grepafloxacin,C0882418
C0207509,Mirtazapine,C0049506
C1620185,Mirtazapine,C0049506
C0057223,Mirtazapine,C0049506
C3887685,Mirtazapine,C0049506
C1142644,Mirtazapine,C0049506
C3714798,Mirtazapine,C0049506
C0207509,Palonosetron,C0220578
C1620185,Palonosetron,C0220578
C0057223,Palonosetron,C0220578
C3887685,Palonosetron,C0220578
C1142644,Palonosetron,C0220578
C3714798,Palonosetron,C0220578
C0207509,Mexiletine,C0025887
C1620185,Mexiletine,C0025887
C0057223,Mexiletine,C0025887
C3887685,Mexiletine,C0025887
C1142644,Mexiletine,C0025887
C3714798,Mexiletine,C0025887
C0010763,Mexiletine,C0025887
C3887686,Mexiletine,C0025887
C0534137,Mexiletine,C0025887
C1828468,Mexiletine,C0025887
C0207509,Tacrine,C0039245
C1620185,Tacrine,C0039245
C0207509,Triamterene,C0040869
C1620185,Triamterene,C0040869
C0207509,Phenylephrine,C0031469
C1620185,Phenylephrine,C0031469
C0207509,Sorafenib,C1516119
C1620185,Sorafenib,C1516119
C0057223,Sorafenib,C1516119
C3887685,Sorafenib,C1516119
C0608437,Sorafenib,C1516119
C1142644,Sorafenib,C1516119
C3714798,Sorafenib,C1516119
C0960580,Sorafenib,C1516119
C0535996,Sorafenib,C1516119
C3714750,Sorafenib,C1516119
C0897385,Sorafenib,C1516119
C0534137,Sorafenib,C1516119
C1828468,Sorafenib,C1516119
C0533212,Sorafenib,C1516119
C0207509,Griseofulvin,C0018242
C0207509,Griseofulvin,C2706761
C1620185,Griseofulvin,C0018242
C1620185,Griseofulvin,C2706761
C1142644,Griseofulvin,C0018242
C1142644,Griseofulvin,C2706761
C3714798,Griseofulvin,C0018242
C3714798,Griseofulvin,C2706761
C0207509,Remoxipride,C0073047
C1620185,Remoxipride,C0073047
C0057223,Remoxipride,C0073047
C3887685,Remoxipride,C0073047
C0070319,Remoxipride,C0073047
C0207509,Rosiglitazone,C0289313
C1620185,Rosiglitazone,C0289313
C0057223,Rosiglitazone,C0289313
C3887685,Rosiglitazone,C0289313
C0608437,Rosiglitazone,C0289313
C1142644,Rosiglitazone,C0289313
C3714798,Rosiglitazone,C0289313
C0010763,Rosiglitazone,C0289313
C3887686,Rosiglitazone,C0289313
C0897385,Rosiglitazone,C0289313
C0534137,Rosiglitazone,C0289313
C1828468,Rosiglitazone,C0289313
C0207509,Secobarbital,C0036516
C1620185,Secobarbital,C0036516
C0608437,Secobarbital,C0036516
C0960580,Secobarbital,C0036516
C0897385,Secobarbital,C0036516
C0207509,Promazine,C0033399
C1620185,Promazine,C0033399
C0057223,Promazine,C0033399
C3887685,Promazine,C0033399
C0608437,Promazine,C0033399
C1142644,Promazine,C0033399
C3714798,Promazine,C0033399
C0960580,Promazine,C0033399
C0207509,Zolpidem,C0078839
C1620185,Zolpidem,C0078839
C0057223,Zolpidem,C0078839
C3887685,Zolpidem,C0078839
C0608437,Zolpidem,C0078839
C1142644,Zolpidem,C0078839
C3714798,Zolpidem,C0078839
C0960580,Zolpidem,C0078839
C0207509,Streptozocin,C0038432
C1620185,Streptozocin,C0038432
C0010763,Streptozocin,C0038432
C3887686,Streptozocin,C0038432
C0059735,Streptozocin,C0038432
C3252639,Streptozocin,C0038432
C0207509,Nitric Oxide,C0028128
C1620185,Nitric Oxide,C0028128
C1142644,Nitric Oxide,C0028128
C3714798,Nitric Oxide,C0028128
C0026237,Nitric Oxide,C0028128
C0887941,Nitric Oxide,C0028128
C0534137,Nitric Oxide,C0028128
C1828468,Nitric Oxide,C0028128
C0001985,Nitric Oxide,C0028128
C0207509,Trimethoprim,C0041041
C0207509,Trimethoprim,C0801990
C1620185,Trimethoprim,C0041041
C1620185,Trimethoprim,C0801990
C0608437,Trimethoprim,C0041041
C0608437,Trimethoprim,C0801990
C1142644,Trimethoprim,C0041041
C1142644,Trimethoprim,C0801990
C3714798,Trimethoprim,C0041041
C3714798,Trimethoprim,C0801990
C0897385,Trimethoprim,C0041041
C0897385,Trimethoprim,C0801990
C0207509,Meperidine,C0025376
C1620185,Meperidine,C0025376
C0057223,Meperidine,C0025376
C3887685,Meperidine,C0025376
C1142644,Meperidine,C0025376
C3714798,Meperidine,C0025376
C0960580,Meperidine,C0025376
C0534137,Meperidine,C0025376
C1828468,Meperidine,C0025376
C0207509,Loratadine,C0065180
C1620185,Loratadine,C0065180
C0057223,Loratadine,C0065180
C3887685,Loratadine,C0065180
C0608437,Loratadine,C0065180
C1142644,Loratadine,C0065180
C3714798,Loratadine,C0065180
C0960580,Loratadine,C0065180
C0535996,Loratadine,C0065180
C3714750,Loratadine,C0065180
C0059735,Loratadine,C0065180
C3252639,Loratadine,C0065180
C0897385,Loratadine,C0065180
