drugbank_id,name,enzy
DB00199,Erythromycin,P24462
DB00201,Caffeine,P05177
DB00201,Caffeine,P05181
DB00201,Caffeine,P10632
DB00201,Caffeine,P11712
DB00201,Caffeine,P08684
DB00201,Caffeine,P11509
DB00201,Caffeine,P11245
DB00201,Caffeine,P47989
DB00201,Caffeine,P04798
DB00201,Caffeine,Q16678
DB00201,Caffeine,P10635
DB00202,Succinylcholine,P06276
DB00203,Sildenafil,P08684
DB00203,Sildenafil,P11712
DB00203,Sildenafil,P33261
DB00203,Sildenafil,P10635
DB00203,Sildenafil,P20815
DB00203,Sildenafil,P24462
DB00203,Sildenafil,P05181
DB00204,Dofetilide,P08684
DB00205,Pyrimethamine,P10632
DB00206,Reserpine,P20815
DB00207,Azithromycin,P08684
DB00208,Ticlopidine,P05164
DB00208,Ticlopidine,P08684
DB00208,Ticlopidine,P33261
DB00208,Ticlopidine,P10635
DB00208,Ticlopidine,P11712
DB00208,Ticlopidine,P10632
DB00208,Ticlopidine,P05177
DB00208,Ticlopidine,P20813
DB00208,Ticlopidine,P05181
DB00209,Trospium,P10635
DB00211,Midodrine,P10635
DB00213,Pantoprazole,P33261
DB00213,Pantoprazole,Q06520
DB00213,Pantoprazole,P08684
DB00214,Torasemide,P10632
DB00214,Torasemide,P11712
DB00215,Citalopram,P33261
DB00215,Citalopram,P08684
DB00215,Citalopram,P21397
DB00215,Citalopram,P27338
DB00215,Citalopram,P10635
DB00215,Citalopram,Q06278
DB00215,Citalopram,P05177
DB00216,Eletriptan,P10635
DB00216,Eletriptan,P08684
DB00216,Eletriptan,P11712
DB00216,Eletriptan,P33261
DB00216,Eletriptan,P23219
DB00216,Eletriptan,P11509
DB00218,Moxifloxacin,P05177
DB00220,Nelfinavir,P33261
DB00220,Nelfinavir,P08684
DB00220,Nelfinavir,P24462
DB00220,Nelfinavir,P20815
DB00220,Nelfinavir,P20813
DB00220,Nelfinavir,P22309
DB00220,Nelfinavir,P11712
DB00220,Nelfinavir,P10635
DB00222,Glimepiride,P11712
DB00222,Glimepiride,P14550
DB00224,Indinavir,P08684
DB00224,Indinavir,P10635
DB00224,Indinavir,P22309
DB00224,Indinavir,P20815
DB00224,Indinavir,P24462
DB00227,Lovastatin,P08684
DB00227,Lovastatin,Q15166
DB00227,Lovastatin,P10632
DB00227,Lovastatin,P22309
DB00227,Lovastatin,P35503
DB00227,Lovastatin,P16662
DB00227,Lovastatin,P33261
DB00228,Enflurane,P05181
DB00231,Temazepam,P08684
DB00231,Temazepam,P33261
DB00231,Temazepam,P20813
DB00231,Temazepam,P11712
DB00233,Aminosalicylic acid,P05164
DB00234,Reboxetine,P08684
DB00234,Reboxetine,P10635
DB00238,Nevirapine,P11712
DB00238,Nevirapine,P10635
DB00238,Nevirapine,P08684
DB00238,Nevirapine,P20815
DB00238,Nevirapine,P20813
DB00238,Nevirapine,P05091
DB00238,Nevirapine,P05177
DB00238,Nevirapine,P24462
DB00238,Nevirapine,P11509
DB00239,Oxiconazole,P08684
DB00239,Oxiconazole,P33261
DB00240,Alclometasone,P08684
DB00242,Cladribine,P27707
DB00243,Ranolazine,P08684
DB00243,Ranolazine,P10635
DB00244,Mesalazine,P18440
DB00246,Ziprasidone,P08684
DB00246,Ziprasidone,Q06278
DB00247,Methysergide,P08684
DB00248,Cabergoline,P08684
DB00250,Dapsone,P11712
DB00250,Dapsone,P05181
DB00250,Dapsone,P08684
DB00250,Dapsone,P05164
DB00250,Dapsone,P35354
DB00250,Dapsone,P11245
DB00250,Dapsone,P33260
DB00250,Dapsone,P31513
DB00250,Dapsone,P23219
DB00250,Dapsone,P10632
DB00250,Dapsone,P33261
DB00250,Dapsone,P20815
DB00250,Dapsone,P24462
DB00252,Phenytoin,P11712
DB00252,Phenytoin,P33261
DB00252,Phenytoin,P05177
DB00252,Phenytoin,P11509
DB00252,Phenytoin,P10632
DB00252,Phenytoin,P10635
DB00252,Phenytoin,P05181
DB00252,Phenytoin,P08684
DB00252,Phenytoin,P07099
DB00252,Phenytoin,P20815
DB00252,Phenytoin,P24462
DB00252,Phenytoin,P20813
DB00252,Phenytoin,P22309
DB00252,Phenytoin,P22310
DB00252,Phenytoin,P19224
DB00252,Phenytoin,O60656
DB00252,Phenytoin,P15559
DB00252,Phenytoin,P21964
DB00252,Phenytoin,P15538
DB00252,Phenytoin,P33260
DB00253,Medrysone,P08684
DB00253,Medrysone,P20815
DB00254,Doxycycline,P08684
DB00255,Diethylstilbestrol,P08684
DB00255,Diethylstilbestrol,P10632
DB00255,Diethylstilbestrol,P11712
DB00255,Diethylstilbestrol,P05181
DB00255,Diethylstilbestrol,P21964
DB00255,Diethylstilbestrol,P11511
DB00257,Clotrimazole,P10632
DB00257,Clotrimazole,P08684
DB00257,Clotrimazole,P20813
DB00257,Clotrimazole,P10635
DB00257,Clotrimazole,P11509
DB00257,Clotrimazole,P11712
DB00257,Clotrimazole,P05181
DB00257,Clotrimazole,P24462
DB00260,Cycloserine,P20711
DB00261,Anagrelide,P05177
DB00263,Sulfisoxazole,P11712
DB00264,Metoprolol,P10635
DB00264,Metoprolol,P08684
DB00264,Metoprolol,P33261
DB00266,Dicoumarol,P11712
DB00266,Dicoumarol,P05178
DB00266,Dicoumarol,P08683
DB00268,Ropinirole,P05177
DB00269,Chlorotrianisene,P11511
DB00270,Isradipine,P08684
DB00273,Topiramate,P08684
DB00273,Topiramate,P33261
DB00277,Theophylline,P05177
DB00277,Theophylline,P05181
DB00277,Theophylline,P04798
DB00277,Theophylline,Q16678
DB00277,Theophylline,P10635
DB00277,Theophylline,P00813
DB00277,Theophylline,P08684
DB00278,Argatroban,P08684
DB00278,Argatroban,P20815
DB00279,Liothyronine,P22309
DB00280,Disopyramide,P08684
DB00280,Disopyramide,P05177
DB00281,Lidocaine,P05177
DB00281,Lidocaine,P08684
DB00281,Lidocaine,P24462
DB00281,Lidocaine,P10635
DB00281,Lidocaine,P20815
DB00281,Lidocaine,P11712
DB00281,Lidocaine,P10632
DB00281,Lidocaine,P11509
DB00281,Lidocaine,P20813
DB00283,Clemastine,P10635
DB00285,Venlafaxine,P10635
DB00285,Venlafaxine,P33261
DB00285,Venlafaxine,P08684
DB00285,Venlafaxine,P11712
DB00286,Conjugated estrogens,P08684
DB00286,Conjugated estrogens,P05177
DB00286,Conjugated estrogens,P21964
DB00288,Amcinonide,P08684
DB00288,Amcinonide,P20815
DB00289,Atomoxetine,P33261
DB00289,Atomoxetine,P10635
DB00290,Bleomycin,Q13867
DB00292,Etomidate,P15538
DB00292,Etomidate,P19099
DB00294,Etonogestrel,P08684
DB00295,Morphine,P16662
DB00295,Morphine,P22309
DB00295,Morphine,Q9HAW9
DB00295,Morphine,P54855
DB00295,Morphine,P06133
DB00295,Morphine,P35503
DB00295,Morphine,P10632
DB00295,Morphine,P08684
DB00296,Ropivacaine,P05177
DB00296,Ropivacaine,P08684
DB00296,Ropivacaine,P20813
DB00297,Bupivacaine,P33261
DB00297,Bupivacaine,P10635
DB00297,Bupivacaine,P08684
DB00301,Flucloxacillin,P08684
DB00303,Ertapenem,P16444
DB00304,Desogestrel,P11712
DB00304,Desogestrel,P33261
DB00304,Desogestrel,P14060
DB00304,Desogestrel,P22309
DB00304,Desogestrel,P08684
DB00305,Mitomycin,P16435
DB00307,Bexarotene,P10632
DB00307,Bexarotene,P08684
DB00309,Vindesine,P08684
DB00312,Pentobarbital,P33261
DB00312,Pentobarbital,P11509
DB00312,Pentobarbital,P08684
DB00313,Valproic acid,P11712
DB00313,Valproic acid,P11509
DB00313,Valproic acid,P20813
DB00313,Valproic acid,P20815
DB00313,Valproic acid,O60656
DB00313,Valproic acid,P35503
DB00313,Valproic acid,P22310
DB00313,Valproic acid,Q9HAW8
DB00313,Valproic acid,Q9HAW9
DB00313,Valproic acid,P19224
DB00313,Valproic acid,P16662
DB00313,Valproic acid,P54855
DB00313,Valproic acid,P23219
DB00313,Valproic acid,P05177
DB00313,Valproic acid,P33261
DB00313,Valproic acid,P08684
DB00313,Valproic acid,P22309
DB00315,Zolmitriptan,P05177
DB00315,Zolmitriptan,P21397
DB00316,Acetaminophen,O60656
DB00316,Acetaminophen,P19224
DB00316,Acetaminophen,P22309
DB00316,Acetaminophen,P54855
DB00316,Acetaminophen,Q9HAW8
DB00316,Acetaminophen,P50225
DB00316,Acetaminophen,P0DMM9
DB00316,Acetaminophen,Q06520
DB00316,Acetaminophen,P05181
DB00316,Acetaminophen,P08684
DB00316,Acetaminophen,P05177
DB00316,Acetaminophen,P10635
DB00316,Acetaminophen,P11509
DB00316,Acetaminophen,P09211
DB00316,Acetaminophen,P30711
DB00316,Acetaminophen,P09488
DB00316,Acetaminophen,P11245
DB00316,Acetaminophen,O00519
DB00317,Gefitinib,P20815
DB00317,Gefitinib,P04798
DB00317,Gefitinib,P11712
DB00317,Gefitinib,P33261
DB00317,Gefitinib,P08684
DB00317,Gefitinib,P10635
DB00318,Codeine,P08684
DB00318,Codeine,P10635
DB00318,Codeine,P16662
DB00318,Codeine,P06133
DB00320,Dihydroergotamine,P08684
DB00322,Floxuridine,P19971
DB00322,Floxuridine,P11509
DB00322,Floxuridine,P11712
DB00323,Tolcapone,P11712
DB00324,Fluorometholone,P20815
DB00324,Fluorometholone,P08684
DB00325,Nitroprusside,P04798
DB00327,Hydromorphone,P35503
DB00327,Hydromorphone,P16662
DB00327,Hydromorphone,P08684
DB00327,Hydromorphone,P11712
DB00328,Indomethacin,P11712
DB00328,Indomethacin,P33261
DB00328,Indomethacin,P22309
DB00328,Indomethacin,P23141
DB00328,Indomethacin,O60656
DB00328,Indomethacin,P16662
DB00330,Ethambutol,P05177
DB00330,Ethambutol,P05181
DB00330,Ethambutol,P33261
DB00330,Ethambutol,P10635
DB00330,Ethambutol,P11509
DB00330,Ethambutol,P11712
DB00330,Ethambutol,P08684
DB00335,Atenolol,P10635
DB00336,Nitrofural,P47989
DB00337,Pimecrolimus,P08684
DB00338,Omeprazole,P11712
DB00338,Omeprazole,P33261
DB00338,Omeprazole,P08684
DB00338,Omeprazole,P04798
DB00338,Omeprazole,P05177
DB00338,Omeprazole,Q16678
DB00338,Omeprazole,P10632
DB00338,Omeprazole,P33260
DB00338,Omeprazole,P10635
DB00339,Pyrazinamide,Q06278
DB00339,Pyrazinamide,P47989
DB00342,Terfenadine,P08684
DB00342,Terfenadine,P24462
DB00342,Terfenadine,P10635
DB00342,Terfenadine,P20815
DB00342,Terfenadine,P10632
DB00342,Terfenadine,P51589
DB00343,Diltiazem,P08684
DB00343,Diltiazem,P10635
DB00343,Diltiazem,P20815
DB00343,Diltiazem,P24462
DB00343,Diltiazem,P33261
DB00343,Diltiazem,P10632
DB00346,Alfuzosin,P08684
DB00347,Trimethadione,P05181
DB00347,Trimethadione,P08684
DB00347,Trimethadione,P10632
DB00347,Trimethadione,P11712
DB00347,Trimethadione,P33261
DB00349,Clobazam,P33261
DB00349,Clobazam,P08684
DB00349,Clobazam,P20813
DB00349,Clobazam,P20815
DB00349,Clobazam,P24462
DB00349,Clobazam,P05177
DB00349,Clobazam,P10632
DB00349,Clobazam,P11712
DB00349,Clobazam,P10635
DB00349,Clobazam,P33260
DB00349,Clobazam,P22309
DB00349,Clobazam,P22310
DB00349,Clobazam,P19224
DB00349,Clobazam,P06133
DB00350,Minoxidil,P22309
DB00351,Megestrol acetate,P08684
DB00352,Tioguanine,P00492
DB00352,Tioguanine,P51580
DB00353,Methylergometrine,P08684
DB00356,Chlorzoxazone,P05181
DB00356,Chlorzoxazone,P04798
DB00356,Chlorzoxazone,P05177
DB00356,Chlorzoxazone,P11509
DB00356,Chlorzoxazone,P08684
DB00356,Chlorzoxazone,P10635
DB00357,Aminoglutethimide,P08684
DB00357,Aminoglutethimide,P33261
DB00358,Mefloquine,P08684
DB00358,Mefloquine,P11511
DB00358,Mefloquine,P22303
DB00358,Mefloquine,P06276
DB00359,Sulfadiazine,P10632
DB00359,Sulfadiazine,P08684
DB00359,Sulfadiazine,P11712
DB00360,Sapropterin,P35354
DB00361,Vinorelbine,P08684
DB00361,Vinorelbine,P10635
DB00363,Clozapine,P08684
DB00363,Clozapine,P11712
DB00363,Clozapine,P33261
DB00363,Clozapine,P05177
DB00363,Clozapine,P10635
DB00363,Clozapine,P20815
DB00363,Clozapine,P31513
DB00363,Clozapine,P05181
DB00363,Clozapine,P22310
DB00363,Clozapine,P35503
DB00363,Clozapine,P22309
DB00363,Clozapine,P36537
DB00363,Clozapine,P11509
DB00363,Clozapine,P10632
DB00363,Clozapine,P04798
DB00365,Grepafloxacin,P05177
DB00365,Grepafloxacin,P08684
DB00366,Doxylamine,Q14097
DB00367,Levonorgestrel,P20815
DB00367,Levonorgestrel,P08684
DB00369,Cidofovir,P19971
DB00370,Mirtazapine,P08684
DB00370,Mirtazapine,P05177
DB00370,Mirtazapine,P10635
DB00373,Timolol,P10635
DB00373,Timolol,P33261
DB00374,Treprostinil,P10632
DB00374,Treprostinil,P11712
DB00377,Palonosetron,P10635
DB00377,Palonosetron,P08684
DB00377,Palonosetron,P05177
DB00378,Dydrogesterone,P08684
DB00379,Mexiletine,P05177
DB00379,Mexiletine,P10635
DB00379,Mexiletine,P20813
DB00379,Mexiletine,P05181
DB00379,Mexiletine,P08684
DB00381,Amlodipine,P08684
DB00381,Amlodipine,P20815
DB00381,Amlodipine,P04798
DB00381,Amlodipine,P20813
DB00381,Amlodipine,P10632
DB00381,Amlodipine,P10635
DB00381,Amlodipine,P33261
DB00381,Amlodipine,P11712
DB00382,Tacrine,P05177
DB00384,Triamterene,P05177
DB00384,Triamterene,Q06520
DB00388,Phenylephrine,P21397
DB00388,Phenylephrine,P27338
DB00388,Phenylephrine,P0DMM9
DB00388,Phenylephrine,P05177
DB00389,Carbimazole,P11511
DB00390,Digoxin,P05108
DB00391,Sulpiride,P06276
DB00392,Profenamine,P06276
DB00393,Nimodipine,P08684
DB00394,Beclomethasone dipropionate,P08684
DB00394,Beclomethasone dipropionate,P20815
DB00394,Beclomethasone dipropionate,Q9HB55
DB00394,Beclomethasone dipropionate,P24462
DB00395,Carisoprodol,P33261
DB00396,Progesterone,P08686
DB00396,Progesterone,P10635
DB00396,Progesterone,P08684
DB00396,Progesterone,P05093
DB00396,Progesterone,P33261
DB00396,Progesterone,P11712
DB00396,Progesterone,P04798
DB00396,Progesterone,Q16678
DB00396,Progesterone,P11509
DB00396,Progesterone,P20815
DB00396,Progesterone,P24462
DB00397,Phenylpropanolamine,P21397
DB00398,Sorafenib,P08684
DB00398,Sorafenib,O60656
DB00398,Sorafenib,P11712
DB00398,Sorafenib,P10632
DB00398,Sorafenib,P20815
DB00398,Sorafenib,P24462
DB00398,Sorafenib,P20813
DB00398,Sorafenib,P05177
DB00398,Sorafenib,P33261
DB00398,Sorafenib,P10635
DB00398,Sorafenib,P22309
DB00400,Griseofulvin,P05177
DB00400,Griseofulvin,P08684
DB00401,Nisoldipine,P08684
DB00401,Nisoldipine,P20815
DB00401,Nisoldipine,P24462
DB00402,Eszopiclone,P08684
DB00402,Eszopiclone,P05181
DB00402,Eszopiclone,P10632
DB00404,Alprazolam,P11712
DB00404,Alprazolam,P33261
DB00404,Alprazolam,P08684
DB00404,Alprazolam,P20815
DB00404,Alprazolam,P24462
DB00411,Carbamoylcholine,P47712
DB00411,Carbamoylcholine,P22303
DB00412,Rosiglitazone,P10632
DB00412,Rosiglitazone,P11712
DB00412,Rosiglitazone,P23219
DB00412,Rosiglitazone,P05177
DB00412,Rosiglitazone,P10635
DB00412,Rosiglitazone,P08684
DB00412,Rosiglitazone,P20813
DB00412,Rosiglitazone,P05181
DB00414,Acetohexamide,P11712
DB00414,Acetohexamide,P16152
DB00418,Secobarbital,P05177
DB00418,Secobarbital,P33261
DB00418,Secobarbital,P10632
DB00418,Secobarbital,P11712
DB00420,Promazine,P05177
DB00420,Promazine,P08684
DB00420,Promazine,P33261
DB00420,Promazine,P11712
DB00420,Promazine,P11509
DB00420,Promazine,P20813
DB00420,Promazine,P10635
DB00420,Promazine,P05181
DB00421,Spironolactone,P15538
DB00421,Spironolactone,P10632
DB00421,Spironolactone,P19099
DB00422,Methylphenidate,Q6LAP9
DB00425,Zolpidem,P08684
DB00425,Zolpidem,P05177
DB00425,Zolpidem,P10635
DB00425,Zolpidem,P11712
DB00425,Zolpidem,P33261
DB00426,Famciclovir,Q06278
DB00428,Streptozocin,P04798
DB00428,Streptozocin,P05177
DB00428,Streptozocin,P05181
DB00432,Trifluridine,P19971
DB00432,Trifluridine,P04183
DB00433,Prochlorperazine,P10635
DB00434,Cyproheptadine,P35503
DB00434,Cyproheptadine,P36537
DB00434,Cyproheptadine,P22310
DB00435,Nitric Oxide,P05091
DB00435,Nitric Oxide,P05177
DB00435,Nitric Oxide,P20813
DB00435,Nitric Oxide,P08684
DB00436,Bendroflumethiazide,P51580
DB00437,Allopurinol,Q06278
DB00437,Allopurinol,P47989
DB00439,Cerivastatin,P10632
DB00439,Cerivastatin,P08684
DB00439,Cerivastatin,P20815
DB00439,Cerivastatin,P24462
DB00439,Cerivastatin,P10635
DB00439,Cerivastatin,P11712
DB00439,Cerivastatin,P20813
DB00439,Cerivastatin,P22309
DB00440,Trimethoprim,P05177
DB00440,Trimethoprim,P08684
DB00440,Trimethoprim,P11712
DB00440,Trimethoprim,P20815
DB00440,Trimethoprim,P24462
DB00440,Trimethoprim,P10632
DB00441,Gemcitabine,P32320
DB00441,Gemcitabine,P27707
DB00441,Gemcitabine,O00142
DB00441,Gemcitabine,P32321
DB00441,Gemcitabine,P30085
DB00441,Gemcitabine,P15531
DB00443,Betamethasone,P11511
DB00443,Betamethasone,P20815
DB00443,Betamethasone,P24462
DB00443,Betamethasone,P11509
DB00443,Betamethasone,Q16678
DB00443,Betamethasone,P20813
DB00443,Betamethasone,P10632
DB00443,Betamethasone,P11712
DB00443,Betamethasone,P33261
DB00443,Betamethasone,P08684
DB00444,Teniposide,P08684
DB00444,Teniposide,P20815
DB00444,Teniposide,P05164
DB00444,Teniposide,P33261
DB00444,Teniposide,P11712
DB00445,Epirubicin,P16662
DB00445,Epirubicin,P47712
DB00446,Chloramphenicol,P00484
DB00446,Chloramphenicol,P26841
DB00446,Chloramphenicol,Q56148
DB00446,Chloramphenicol,P33261
DB00446,Chloramphenicol,P08684
DB00446,Chloramphenicol,P20815
DB00446,Chloramphenicol,P24462
DB00448,Lansoprazole,P33261
DB00448,Lansoprazole,P11712
DB00448,Lansoprazole,P08684
DB00448,Lansoprazole,P10632
DB00448,Lansoprazole,P04798
DB00448,Lansoprazole,Q16678
DB00448,Lansoprazole,P33260
DB00448,Lansoprazole,P10635
DB00451,Levothyroxine,P55073
DB00451,Levothyroxine,P22309
DB00451,Levothyroxine,P08183
DB00451,Levothyroxine,P10632
DB00454,Meperidine,P08684
DB00454,Meperidine,P33261
DB00454,Meperidine,P20813
DB00454,Meperidine,P10635
DB00454,Meperidine,P05177
DB00455,Loratadine,P08684
DB00455,Loratadine,P10635
DB00455,Loratadine,P33261
DB00455,Loratadine,P04798
DB00455,Loratadine,P20813
DB00455,Loratadine,P10632
